### DATA:
#
# 2271
#      Q             I(Q)           Error     
8.67531480E-02  3.44677269E-03  4.00660942E-04
8.69730546E-02  3.12132761E-03  4.09400052E-04
8.71929612E-02  3.11043113E-03  4.05524539E-04
8.74128678E-02  3.16012837E-03  4.03820095E-04
8.76327744E-02  3.16983275E-03  4.05228724E-04
8.78526810E-02  2.53625028E-03  4.03517826E-04
8.80725876E-02  3.06476839E-03  4.10602672E-04
8.82924941E-02  3.28945555E-03  4.04673902E-04
8.85124007E-02  3.14125419E-03  4.07310995E-04
8.87323073E-02  2.18211114E-03  4.04694713E-04
8.89522139E-02  2.24002637E-03  4.04514928E-04
8.91721205E-02  2.15221755E-03  4.02369258E-04
8.93920271E-02  2.37544812E-03  3.99027970E-04
8.96119337E-02  2.77748704E-03  4.04640454E-04
8.98318402E-02  2.62729079E-03  3.96426173E-04
9.00517468E-02  1.42233260E-03  3.92890959E-04
9.02716534E-02  2.85155885E-03  3.90279845E-04
9.04915600E-02  3.08841467E-03  3.89874467E-04
9.07114666E-02  2.12520361E-03  3.83542843E-04
9.09313732E-02  2.93250196E-03  3.84020157E-04
9.11512797E-02  1.89488381E-03  3.80017904E-04
9.13711863E-02  1.58984959E-03  3.75759227E-04
9.15910929E-02  2.18691863E-03  3.79985313E-04
9.18109995E-02  1.91053376E-03  3.83571853E-04
9.20309061E-02  1.76850893E-03  3.72725950E-04
9.22508127E-02  1.69302896E-03  3.74904451E-04
9.24707193E-02  1.80539861E-03  3.71506734E-04
9.26906258E-02  6.99087977E-04  3.71201157E-04
9.29105324E-02  2.30104104E-03  3.78436877E-04
9.31304390E-02  1.73192099E-03  3.66817895E-04
9.33503456E-02  1.66209228E-03  3.68303904E-04
9.35702522E-02  1.88754871E-03  3.65690655E-04
9.37901588E-02  1.84837729E-03  3.69015367E-04
9.40100654E-02  2.13684887E-03  3.71541353E-04
9.42299719E-02  1.55147165E-03  3.61585066E-04
9.44498785E-02  1.97006389E-03  3.68959523E-04
9.46697851E-02  1.68560073E-03  3.66748512E-04
9.48896917E-02  1.12958066E-03  3.58632255E-04
9.51095983E-02  1.46530196E-03  3.61724213E-04
9.53295049E-02  1.91083737E-03  3.61445824E-04
9.55494115E-02  1.60830840E-03  3.63941230E-04
9.57693180E-02  1.76032074E-03  3.60670599E-04
9.59892246E-02  1.32372789E-03  3.56062055E-04
9.62091312E-02  1.18324533E-03  3.56095125E-04
9.64290378E-02  1.80954486E-03  3.56390701E-04
9.66489444E-02  1.66028738E-03  3.57685207E-04
9.68688510E-02  9.30605456E-04  3.53847786E-04
9.70887576E-02  1.47842988E-03  3.56913949E-04
9.73086641E-02  1.34962797E-03  3.52495163E-04
9.75285707E-02  7.87332654E-04  3.54411683E-04
9.77484773E-02  1.64288282E-03  3.55190235E-04
9.79683839E-02  1.10409595E-03  3.48778284E-04
9.81882905E-02  1.25401095E-03  3.54834882E-04
9.84081971E-02  1.30763650E-03  3.50567334E-04
9.86281037E-02  1.67676434E-03  3.53355637E-04
9.88480102E-02  1.27568468E-03  3.52106315E-04
9.90679168E-02  1.32364221E-03  3.47195663E-04
9.92878234E-02  9.50532034E-04  3.47145430E-04
9.95077300E-02  1.72165222E-03  3.49658567E-04
9.97276366E-02  1.65246613E-03  3.50199302E-04
9.99475432E-02  1.23385713E-03  3.46348705E-04
1.00167450E-01  1.14047900E-03  3.45983131E-04
1.00387356E-01  1.55408680E-03  3.48009474E-04
1.00607263E-01  1.16906874E-03  3.42941059E-04
1.00827170E-01  1.39421597E-03  3.44521445E-04
1.01047076E-01  1.19350292E-03  3.40658152E-04
1.01266983E-01  9.22910869E-04  3.45073557E-04
1.01486889E-01  4.39040363E-04  3.40765839E-04
1.01706796E-01  5.95334917E-04  3.38746308E-04
1.01926702E-01  4.02793288E-04  3.36707890E-04
1.02146609E-01  9.82750207E-04  3.37807379E-04
1.02366516E-01  5.98261133E-04  3.37529492E-04
1.02586422E-01  1.06779300E-03  3.41136084E-04
1.02806329E-01  5.49722463E-04  3.32677780E-04
1.03026235E-01  7.92577863E-04  3.37466950E-04
1.03246142E-01  -8.40984285E-06  3.32790543E-04
1.03466049E-01  8.58906657E-04  3.40689814E-04
1.03685955E-01  6.26215711E-04  3.33090269E-04
1.03905862E-01  2.38755718E-04  3.32299062E-04
1.04125768E-01  9.69467685E-04  3.34297103E-04
1.04345675E-01  4.37734649E-04  3.31935834E-04
1.04565581E-01  2.25109980E-04  3.33973242E-04
1.04785488E-01  7.36655667E-04  3.34326859E-04
1.05005395E-01  2.12600455E-04  3.28706018E-04
1.05225301E-01  2.93126330E-04  3.28675858E-04
1.05445208E-01  2.72860751E-04  3.29722681E-04
1.05665114E-01  5.01962379E-04  3.28317167E-04
1.05885021E-01  -1.02743506E-05  3.26795810E-04
1.06104928E-01  6.08069822E-04  3.34199691E-04
1.06324834E-01  -2.12075189E-04  3.31006000E-04
1.06544741E-01  4.94791195E-04  3.26894348E-04
1.06764647E-01  -6.99609518E-06  3.26539180E-04
1.06984554E-01  8.61313194E-04  3.26702378E-04
1.07204461E-01  -9.94559377E-05  3.25745583E-04
1.07424367E-01  7.60769472E-04  3.28372323E-04
1.07644274E-01  6.75454736E-04  3.27941096E-04
1.07864180E-01  7.93555751E-04  3.31349276E-04
1.08084087E-01  7.25654885E-04  3.24754260E-04
1.08303993E-01  1.16755068E-03  3.31109741E-04
1.08523900E-01  3.62103805E-04  3.24071854E-04
1.08743807E-01  2.69994140E-04  3.24586857E-04
1.08963713E-01  8.96966085E-04  3.25973556E-04
1.09183620E-01  4.95880842E-04  3.24939155E-04
1.09403526E-01  6.24466687E-04  3.23043969E-04
1.09623433E-01  3.35985795E-04  3.20451901E-04
1.09843340E-01  6.52346760E-04  3.23950876E-04
1.10063246E-01  5.30155376E-04  3.25372395E-04
1.10283153E-01  1.12799928E-04  3.23050499E-04
1.10503059E-01  4.89501283E-04  3.20279111E-04
1.10722966E-01  3.37209553E-04  3.18046691E-04
1.10942872E-01  1.76005065E-04  3.16863413E-04
1.11162779E-01  1.00477226E-03  3.26209001E-04
1.11382686E-01  3.37883830E-05  3.14817587E-04
